config,feature_set,n_features,mean_f1,std_f1,mean_precision,std_precision,mean_recall,std_recall,protocol_note
full60,Full,60,0.8062719427463882,0.2359877283810758,0.8026686329032842,0.2619545872282214,0.8423811225970989,0.2437661969309687,RQ1 OPT_PAIRF1_TRAIN_FAST
syn_only,Syntactic,22,0.7649657602196511,0.2202538683822808,0.9344434873993472,0.2024318784125047,0.6800177174380766,0.2572792731725193,train-only pair_mean_std_train
distance_only,Distance-based,7,0.5439724088865519,0.2891602144013873,0.768835289598423,0.3287964091516548,0.4869995245062845,0.3140871108495726,train-only pair_mean_std_train
topological_only,Topological,31,0.5510183822663508,0.241063822647169,0.7215701540879258,0.3144914027438951,0.5176728622294772,0.2734368483817443,train-only pair_mean_std_train
syn_distance,Syntactic + Distance-based,29,0.7766232883950568,0.1914381244916143,0.948569436767536,0.1634859663490605,0.6931976747630764,0.2369307349465694,train-only pair_mean_std_train
syn_topological,Syntactic + Topological,53,0.7889439585295797,0.1841937934421256,0.9447245460303608,0.1573432759916637,0.7096248204436805,0.2285945042272123,train-only pair_mean_std_train
distance_topological,Distance-based + Topological,38,0.6600806961877242,0.2318806352842018,0.8664106756358555,0.2411709301782038,0.5895288977591596,0.2638308966496017,train-only pair_mean_std_train
compact10,Compact,10,0.7877013107322606,0.1837040277271572,0.947912143582516,0.1616911091067391,0.7084259059370565,0.229736129582284,train-only pair_mean_std_train
