config,mean_f1,std_f1,mean_precision,std_precision,mean_recall,std_recall,n_pair_id,n_features,total_fit_sec,total_train_score_sec,total_predict_sec,mean_fit_sec_fold,mean_predict_sec_fold,total_model_sec
syn_only,0.6048218237226105,0.30601383475765803,0.8725717244435677,0.3235905188900834,0.5027214390192193,0.31179310529926685,551,22,182.56244384700005,4.900283048000006,2.081974640999931,30.427073974500008,0.3469957734999885,189.544701536
pearson085_rf_importance_k10,0.5702289728825992,0.3103734145732583,0.8571017703740216,0.3431656937980254,0.46641956913827376,0.3106222745966554,551,10,188.71662536300005,4.613225824999745,1.9495948569999655,31.452770893833343,0.32493247616666093,195.27944604499976
syn_distance,0.5557624988667521,0.3181756492791371,0.8446824893282776,0.35412729601771986,0.45507012490713655,0.31597373480429347,551,29,225.720693762,5.395420927000259,2.1302821930001983,37.620115627,0.3550470321666997,233.24639688200045
syn_topological,0.5446767075696562,0.3145343040309722,0.8479164835136739,0.3511559305544114,0.4415295476344621,0.31075786518441456,551,53,223.63988262400017,5.47276292499987,2.2786670870004855,37.2733137706667,0.37977784783341423,231.39131263600052
full60,0.5294137330867034,0.31606023971988473,0.8357049906409961,0.3622024484909102,0.42675940570398363,0.30828121434897304,551,60,241.74545885300003,5.459071379000022,2.265111190999967,40.29090980883334,0.37751853183332784,249.469641423
distance_topological,0.45460060145068015,0.3089009867313598,0.811724800607155,0.36978408127063805,0.35512185217060066,0.2963919251257043,551,38,259.6163343490002,6.20990670299966,2.5358606370000416,43.2693890581667,0.42264343950000693,268.3621016889999
distance_only,0.38511645877568434,0.3549216456558476,0.7140296592058238,0.43717146555837016,0.31603081717061043,0.34537902756746675,551,7,250.8599017530001,6.19961876900004,2.5218601929999522,41.80998362550002,0.4203100321666587,259.5813807150001
topological_only,0.12962494362802257,0.16089269958705574,0.516352578448262,0.48790462107834626,0.07919751161781965,0.11062780324930213,551,31,227.14200564500015,6.943443830999854,2.74529019699969,37.85700094083336,0.45754836616661504,236.8307396729997
