config,fold_id,pair_id,n_rows,n_pos,precision,recall,f1,n_features
syn_distance,0,ChEMBL__Unionable__assays_horizontal_50_ac5_av,529,23,1.0,0.34782608695652173,0.5161290322580645,29
syn_distance,0,OpenData__Semantically-Joinable__miller2_both_50_70_ac4_av,1849,35,1.0,0.2571428571428571,0.4090909090909091,29
syn_distance,0,TPC-DI__Joinable__prospect_both_50_50_ec_ev,272,11,1.0,0.18181818181818182,0.3076923076923077,29
syn_distance,0,TPC-DI__View-Unionable__prospect_both_0_30_ac1_ev,196,6,1.0,0.16666666666666666,0.2857142857142857,29
syn_distance,0,ChEMBL__Joinable__assays_both_50_1_ac2_ev,144,1,0.0,0.0,0.0,29
syn_distance,0,ChEMBL__Unionable__assays_horizontal_50_ac5_ev,529,23,1.0,0.34782608695652173,0.5161290322580645,29
syn_distance,0,ChEMBL__Joinable__assays_both_50_1_ac3_ev,144,1,0.0,0.0,0.0,29
syn_distance,0,TPC-DI__View-Unionable__prospect_both_0_30_ac2_ev,196,6,1.0,0.6666666666666666,0.8,29
syn_distance,0,OpenData__Semantically-Joinable__miller2_vertical_1_ac4_av,676,1,0.0,0.0,0.0,29
syn_distance,0,TPC-DI__Joinable__prospect_both_50_70_ec_ev,342,15,1.0,0.3333333333333333,0.5,29
syn_distance,0,ChEMBL__View-Unionable__assays_both_0_1_ac2_ev,144,1,0.0,0.0,0.0,29
syn_distance,0,TPC-DI__Joinable__prospect_vertical_1_ac2_ev,132,1,1.0,1.0,1.0,29
syn_distance,0,TPC-DI__View-Unionable__prospect_both_0_30_ec_av,196,6,1.0,0.3333333333333333,0.5,29
syn_distance,0,OpenData__Semantically-Joinable__miller2_vertical_30_ac2_av,1089,15,0.9166666666666666,0.7333333333333333,0.8148148148148148,29
syn_distance,0,ChEMBL__Joinable__assays_both_50_30_ec_ev,210,6,1.0,0.3333333333333333,0.5,29
syn_distance,0,TPC-DI__View-Unionable__prospect_both_0_50_ac1_av,272,11,1.0,0.18181818181818182,0.3076923076923077,29
syn_distance,0,TPC-DI__Joinable__prospect_vertical_1_ec_ev,132,1,0.0,0.0,0.0,29
syn_distance,0,TPC-DI__View-Unionable__prospect_both_0_50_ac1_ev,272,11,1.0,0.2727272727272727,0.42857142857142855,29
syn_distance,0,ChEMBL__View-Unionable__assays_both_0_30_ac1_av,210,6,1.0,0.16666666666666666,0.2857142857142857,29
syn_distance,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac3_av,1444,25,1.0,0.36,0.5294117647058824,29
syn_distance,0,ChEMBL__View-Unionable__assays_both_0_30_ac2_av,210,6,1.0,0.3333333333333333,0.5,29
syn_distance,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac4_av,1444,25,1.0,0.32,0.48484848484848486,29
syn_distance,0,OpenData__Semantically-Joinable__miller2_vertical_50_ac5_av,1444,25,1.0,0.12,0.21428571428571427,29
syn_distance,0,TPC-DI__Joinable__prospect_vertical_50_ac1_ev,272,11,1.0,0.9090909090909091,0.9523809523809523,29
syn_distance,0,ChEMBL__Joinable__assays_both_50_70_ac3_ev,380,16,1.0,0.5,0.6666666666666666,29
syn_distance,0,ChEMBL__Joinable__assays_both_50_70_ac4_ev,380,16,1.0,0.6875,0.8148148148148148,29
syn_distance,0,OpenData__Semantically-Joinable__miller2_vertical_70_ac2_av,1849,35,0.9444444444444444,0.4857142857142857,0.6415094339622641,29
syn_distance,0,ChEMBL__Joinable__assays_both_50_70_ec_ev,380,16,1.0,0.375,0.5454545454545454,29
syn_distance,0,TPC-DI__Joinable__prospect_vertical_50_ac5_ev,272,11,1.0,0.9090909090909091,0.9523809523809523,29
syn_distance,0,OpenData__Semantically-Joinable__miller2_vertical_70_ac4_av,1849,35,0.8888888888888888,0.22857142857142856,0.36363636363636365,29
syn_distance,0,TPC-DI__Joinable__prospect_vertical_50_ec_ev,272,11,0.0,0.0,0.0,29
syn_distance,0,TPC-DI__Joinable__prospect_vertical_70_ac1_ev,342,15,1.0,1.0,1.0,29
syn_distance,0,ChEMBL__View-Unionable__assays_both_0_30_ec_av,210,6,0.0,0.0,0.0,29
syn_distance,0,OpenData__Unionable__miller2_horizontal_0_ac1_ev,2601,51,1.0,0.45098039215686275,0.6216216216216216,29
syn_distance,0,TPC-DI__Joinable__prospect_vertical_70_ac4_ev,342,15,1.0,0.8,0.8888888888888888,29
