source_protocol,method,hyperparams,n_selected,selected
stage1_first_benchmark,graph_independent_spearman,"{""threshold"": 0.6}",22,syn_cosine_trigrams | cls_canberra | syn_levenshtein_sim | tda_h0_wasserstein | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | tda_h1_entropy_tgt | tda_h0_max_life_src | tda_h0_entropy_src | tda_h2_max_life_combined | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_entropy_tgt | tda_h2_entropy_src
stage1_first_benchmark,greedy_spearman,"{""threshold"": 0.7}",28,syn_jaro_winkler | syn_cosine_trigrams | cls_euclidean | cls_chebyshev | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | tda_h1_entropy_tgt | syn_len_b | tda_h0_max_life_src | tda_h2_max_life_combined | syn_len_a | tda_h1_max_life_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_entropy_tgt | tda_h2_count_src | tda_h2_entropy_src
stage1_first_benchmark,greedy_pearson,"{""threshold"": 0.7}",30,syn_jaro_winkler | syn_cosine_trigrams | cls_euclidean | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | syn_lcs_len | tda_h1_entropy_tgt | syn_len_b | tda_h0_max_life_src | tda_h2_max_life_combined | syn_len_a | tda_h1_max_life_src | tda_h1_entropy_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_max_life_src | tda_h2_entropy_tgt | tda_h2_count_src
stage1_first_benchmark,greedy_kendall,"{""threshold"": 0.7}",34,syn_jaro_winkler | syn_cosine_bigrams | syn_cosine_trigrams | cls_euclidean | cls_chebyshev | syn_lcs_ratio | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | syn_lcs_len | tda_h1_entropy_tgt | syn_len_b | tda_h0_max_life_src | tda_h0_entropy_src | tda_h2_max_life_combined | tda_h1_max_life_src | tda_h1_entropy_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_max_life_src | tda_h2_entropy_tgt | tda_h2_entropy_src
stage1_first_benchmark,cluster_spearman,"{""threshold"": 0.7}",26,syn_jaro_winkler | syn_cosine_bigrams | cls_euclidean | cls_chebyshev | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | tda_h0_max_life_src | tda_h0_entropy_src | tda_h2_max_life_combined | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_entropy_tgt | tda_h2_entropy_src
stage1_first_benchmark,graph_independent_spearman,"{""threshold"": 0.7}",29,syn_cosine_bigrams | cls_cosine_sim | cls_chebyshev | syn_lcs_ratio | tda_h0_wasserstein | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | syn_lcs_len | tda_h1_entropy_tgt | tda_h0_max_life_src | tda_h2_max_life_combined | syn_len_a | tda_h1_max_life_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_entropy_tgt | tda_h2_entropy_src | tda_h2_count_src
stage1_first_benchmark,greedy_spearman,"{""threshold"": 0.75}",31,syn_jaro_winkler | syn_cosine_trigrams | cls_euclidean | cls_chebyshev | syn_lcs_ratio | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | tda_h1_entropy_tgt | tda_h0_max_life_src | tda_h2_max_life_combined | syn_len_a | tda_h1_max_life_src | tda_h1_entropy_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_max_life_src | tda_h2_entropy_tgt | tda_h2_entropy_src
stage1_first_benchmark,greedy_pearson,"{""threshold"": 0.75}",33,syn_jaro_winkler | syn_cosine_trigrams | cls_euclidean | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | syn_lcs_len | tda_h1_entropy_tgt | syn_len_b | tda_h0_max_life_src | tda_h2_max_life_combined | syn_len_a | tda_h1_max_life_src | tda_h1_entropy_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_max_life_src | tda_h2_entropy_tgt | tda_h2_count_src | tda_h2_entropy_src | tda_h2_count_tgt
stage1_first_benchmark,greedy_kendall,"{""threshold"": 0.75}",36,syn_jaro_winkler | syn_cosine_bigrams | syn_cosine_trigrams | cls_euclidean | cls_chebyshev | syn_lcs_ratio | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | syn_lcs_len | tda_h1_entropy_tgt | syn_len_b | tda_h0_max_life_src | tda_h0_entropy_src | tda_h2_max_life_combined | tda_h1_count_combined | syn_len_a | tda_h1_max_life_src | tda_h1_entropy_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_max_life_src | tda_h2_entropy_tgt | tda_h2_entropy_src
stage1_first_benchmark,cluster_spearman,"{""threshold"": 0.75}",30,syn_jaro_winkler | syn_cosine_bigrams | cls_euclidean | cls_chebyshev | tda_h0_wasserstein | tda_h0_entropy_combined | tda_h0_bottleneck | tda_h1_max_life_combined | tda_h1_entropy_combined | syn_jaccard_tokens | tda_h0_entropy_tgt | tda_h0_max_life_tgt | tda_h0_max_life_combined | syn_common_prefix_ratio | syn_damerau_osa | syn_common_suffix_ratio | tda_h1_wasserstein | tda_h1_max_life_tgt | syn_lcs_len | tda_h1_entropy_tgt | tda_h0_max_life_src | tda_h0_entropy_src | tda_h2_max_life_combined | tda_h1_max_life_src | tda_h2_entropy_combined | tda_h2_max_life_tgt | syn_contains_b_in_a | tda_h2_max_life_src | tda_h2_entropy_tgt | tda_h2_entropy_src
