method,raw_method,fold_id,runtime_sec,source
COMA++,coma_pp,5,37.36141650751233,outputs/exp_occidata/results/fold_5/coma_pp/task_info.json
COMA,coma,0,69.06888735573739,outputs/exp_occidata/results/fold_0/coma/task_info.json
COMA,coma,1,69.44604930491187,outputs/exp_occidata/results/fold_1/coma/task_info.json
COMA,coma,2,67.29326272400795,outputs/exp_occidata/results/fold_2/coma/task_info.json
COMA,coma,3,73.3221292279195,outputs/exp_occidata/results/fold_3/coma/task_info.json
COMA,coma,4,68.77410571463406,outputs/exp_occidata/results/fold_4/coma/task_info.json
COMA,coma,5,37.1185170810204,outputs/exp_occidata/results/fold_5/coma/task_info.json
Similarity Flooding,similarity_flooding,0,484.06803987920284,outputs/exp_occidata/results/fold_0/similarity_flooding/task_info.json
Similarity Flooding,similarity_flooding,1,536.3462959313765,outputs/exp_occidata/results/fold_1/similarity_flooding/task_info.json
Similarity Flooding,similarity_flooding,2,519.5119944640901,outputs/exp_occidata/results/fold_2/similarity_flooding/task_info.json
Similarity Flooding,similarity_flooding,3,540.2414955879794,outputs/exp_occidata/results/fold_3/similarity_flooding/task_info.json
Similarity Flooding,similarity_flooding,4,513.3136699572206,outputs/exp_occidata/results/fold_4/similarity_flooding/task_info.json
Similarity Flooding,similarity_flooding,5,282.4599103741348,outputs/exp_occidata/results/fold_5/similarity_flooding/task_info.json
Distribution Based,distribution_based,0,6615.365551236086,outputs/exp_occidata/results/fold_0/distribution_based/task_info.json
Distribution Based,distribution_based,1,6501.9580795336515,outputs/exp_occidata/results/fold_1/distribution_based/task_info.json
Distribution Based,distribution_based,2,6739.359176928992,outputs/exp_occidata/results/fold_2/distribution_based/task_info.json
Distribution Based,distribution_based,3,6802.469748334959,outputs/exp_occidata/results/fold_3/distribution_based/task_info.json
Distribution Based,distribution_based,4,6310.34743510501,outputs/exp_occidata/results/fold_4/distribution_based/task_info.json
Distribution Based,distribution_based,5,3348.5106802647933,outputs/exp_occidata/results/fold_5/distribution_based/task_info.json
Cupid,cupid,0,24.373303203028627,outputs/exp_occidata/results/fold_0/cupid/task_info.json
Cupid,cupid,1,22.56131930463016,outputs/exp_occidata/results/fold_1/cupid/task_info.json
Cupid,cupid,2,22.533296092995442,outputs/exp_occidata/results/fold_2/cupid/task_info.json
Cupid,cupid,3,23.649412131868303,outputs/exp_occidata/results/fold_3/cupid/task_info.json
Cupid,cupid,4,21.430013971985318,outputs/exp_occidata/results/fold_4/cupid/task_info.json
Cupid,cupid,5,14.000036932062358,outputs/exp_occidata/results/fold_5/cupid/task_info.json
