fold_id,n_test_rows,n_pair_id,n_features,n_estimators,sampled_fit_sec_for_benchmark_only,predict_only_sec,predict_only_sec_per_row
0,118124,166,61,350,4.653271508,0.5487762380000003,4.645764095357424e-06
1,118852,166,61,350,4.653271508,0.5715384319999988,4.808824689529825e-06
2,118647,166,61,350,4.653271508,0.8962501159999992,7.553921430798917e-06
3,121319,166,61,350,4.653271508,0.8065363799999989,6.648063205268746e-06
4,114965,166,61,350,4.653271508,0.6029358499999997,5.24451659200626e-06
5,63677,104,61,350,4.653271508,0.33694174500000074,5.29141990043502e-06
