case,n_candidates,n_models,load_all_models_sec_once,predict_loaded_models_sec,load_and_predict_sec,predict_loaded_sec_per_candidate,load_and_predict_sec_per_candidate,sanity_prediction_mean
small_pair,16,16,0.0396408380000004,0.017338087999999807,0.039840423000000236,0.001083630499999988,0.0024900264375000147,0.18368706107139587
median_pair,578,16,0.0396408380000004,0.027540139000000075,0.05926356700000035,4.7647299307958605e-05,0.00010253212283737085,0.3405537009239197
large_pair,10404,16,0.0396408380000004,0.28510402000000035,0.2742743670000003,2.7403308342945054e-05,2.6362395905421022e-05,0.31792911887168884
fold0_all_rows,118124,16,0.0396408380000004,2.8110477200000004,2.846962766,2.3797430835393318e-05,2.4101476126782025e-05,0.315832257270813
