method,f1_mean,f1_std,precision_mean,recall_mean,n_pair_id,precision_std,recall_std
MetaSpace Random Forest,0.8062719427463882,0.2359877283810758,0.8026686329032842,0.8423811225970989,551,0.26195458722822146,0.24376619693096874
MetaSpace XGBoost,0.6485865159942386,0.2636625545990613,0.7258919356933653,0.6374294314959412,551,0.2835841259788438,0.30224054413820073
MetaSpace CatBoost,0.6113372875773344,0.2583913683517426,0.6506883340009247,0.6471784289005142,551,0.2780371992729047,0.3108565227283215
MetaSpace SVM,0.5035334418715948,0.2499201342064408,0.5590608204545092,0.5456211753227945,551,0.2771004886225286,0.3094473857875843
MetaSpace Logistic Regression,0.497415190021026,0.2516881770373348,0.5571166769171452,0.5416582316868899,551,0.28039542598637235,0.31384615452696885
