pair_id,dataset,short_dataset,feature_build_sec_pair,feature_build_reduced_sec_pair,category,relation,model,scenario,rf_fit_sec_pair_share,rf_test_fold_appearances,runtime_sec_pair,runtime_note
OpenData__Semantically-Joinable__miller2_vertical_1_ac1_av,OpenData,miller2_vertical_1_ac1_av,180.106,75.66713701127469,OpenData,Semantically-Joinable,minilm,si_si2,6.490463595692778,1,186.59646359569277,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__Joinable__prospect_both_50_70_ac3_ev,TPC-DI,prospect_both_50_70_ac3_ev,93.965,37.39104129575193,TPC-DI,Joinable,minilm,si_si2,12.894884620442308,1,106.85988462044232,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__View-Unionable__prospect_both_0_30_ac3_av,TPC-DI,prospect_both_0_30_ac3_av,53.258,20.244933667212727,TPC-DI,View-Unionable,minilm,si_si2,5.42661401036749,1,58.68461401036749,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__Joinable__assays_both_50_1_ac5_ev,ChEMBL,assays_both_50_1_ac5_ev,43.23,15.839923457726831,ChEMBL,Joinable,minilm,si_si2,5.67392592550904,2,48.903925925509036,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__View-Unionable__assays_both_0_1_ac1_av,ChEMBL,assays_both_0_1_ac1_av,42.578,15.56123912732303,ChEMBL,View-Unionable,minilm,si_si2,5.615673451915668,1,48.19367345191567,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
OpenData__Semantically-Joinable__miller2_vertical_1_ac2_av,OpenData,miller2_vertical_1_ac2_av,186.743,78.04014209213852,OpenData,Semantically-Joinable,minilm,si_si2,5.615673451915668,1,192.35867345191565,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__Joinable__prospect_both_50_70_ac4_ev,TPC-DI,prospect_both_50_70_ac4_ev,86.456,34.76245792372526,TPC-DI,Joinable,minilm,si_si2,12.894884620442308,1,99.35088462044232,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
TPC-DI__View-Unionable__prospect_both_0_30_ac3_ev,TPC-DI,prospect_both_0_30_ac3_ev,53.609,20.52860163041949,TPC-DI,View-Unionable,minilm,si_si2,5.768455646283129,2,59.37745564628313,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__Joinable__assays_both_50_1_ec_ev,ChEMBL,assays_both_50_1_ec_ev,41.09,15.201981768161062,ChEMBL,Joinable,minilm,si_si2,12.894884620442308,1,53.984884620442315,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
ChEMBL__View-Unionable__assays_both_0_1_ac1_ev,ChEMBL,assays_both_0_1_ac1_ev,43.769,15.987317048158497,ChEMBL,View-Unionable,minilm,si_si2,6.490463595692778,1,50.25946359569278,"feature build from final_time_before_after_fs_bis.csv (minilm, si_si2) + RF fit amortized by test pair; prediction time not separately logged"
