method,pair_id,runtime_sec_pair,runtime_note
MetaSpace,TPC-DI__View-Unionable__prospect_both_0_1_ec_ev,27.78607489463854,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__View-Unionable__prospect_both_0_1_ac3_ev,28.128845627141565,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_vertical_1_ec_av,28.3061854308996,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_vertical_1_ac5_av,35.50258651644229,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_both_50_1_ec_av,29.098165491692765,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Semantically-Joinable__prospect_both_50_1_ac5_av,35.50258651644229,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_both_50_1_ac3_ev,28.281627821509023,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_both_50_1_ac4_ev,28.442120193165653,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_both_50_1_ec_ev,28.616826858753,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_vertical_1_ac5_ev,29.098165491692765,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_vertical_1_ec_ev,28.47106004099396,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_both_50_1_ac5_ev,35.50258651644229,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_both_50_1_ac1_ev,29.098165491692765,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_both_50_1_ac2_ev,28.442120193165653,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,TPC-DI__Joinable__prospect_vertical_1_ac4_ev,28.52893973665057,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Semantically-Joinable__assays_both_50_1_ac1_av,30.7160160467133,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Semantically-Joinable__assays_vertical_1_ac4_av,30.08956153327657,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Semantically-Joinable__assays_vertical_1_ac1_av,30.33687344841812,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Semantically-Joinable__assays_vertical_1_ac5_av,30.340728537062702,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
MetaSpace,ChEMBL__Semantically-Joinable__assays_both_50_1_ac2_av,29.84132052154763,estimated 61-feature build from representative benchmark + RF fit amortized by test pair; prediction time not separately logged; benchmark used hashed fallback embeddings locally
