method,method_raw,pair_id,pair_id_raw,f1_all_to_all,precision_all_to_all,recall_all_to_all,runtime,scenario,source,dataset_group,relation_group
Distribution Based,,ChEMBL__Joinable__assays_vertical_30_ec_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,ChEMBL,Joinable
SMUTF,,TPC-DI__View-Unionable__prospect_both_0_30_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,View-Unionable
SMUTF,,TPC-DI__View-Unionable__prospect_both_0_30_ec_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,View-Unionable
SMUTF,,TPC-DI__View-Unionable__prospect_both_0_50_ac1_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,View-Unionable
SMUTF,,TPC-DI__View-Unionable__prospect_both_0_50_ac1_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,View-Unionable
MetaMatch,rf,OpenData__View -Unionable__miller2_both_0_30_ac1_ev,OpenData__View -Unionable__miller2_both_0_30_ac1_ev,1.0,1.0,1.0,,threshold_opt_pairf1_train_fast_grid001_strict_gt,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet,OpenData,View-Unionable
SMUTF,,TPC-DI__Joinable__prospect_both_50_70_ec_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Joinable
SMUTF,,TPC-DI__Joinable__prospect_both_50_70_ac5_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Joinable
MagnetoFTGPT,MagnetoFTGPT,TPC-DI__Unionable__prospect_horizontal_50_ec_ev,prospect_horizontal_50_ec_ev_source.csv,1.0,1.0,1.0,18.89597511291504,,/Users/nahawandkired/Desktop/si_si-magneto.csv,TPC-DI,Unionable
MagnetoFTGPT,MagnetoFTGPT,TPC-DI__Unionable__prospect_horizontal_0_ac1_av,prospect_horizontal_0_ac1_av_source.csv,1.0,1.0,1.0,19.48426818847656,,/Users/nahawandkired/Desktop/si_si-magneto.csv,TPC-DI,Unionable
