method,method_raw,pair_id,pair_id_raw,f1_all_to_all,precision_all_to_all,recall_all_to_all,runtime,scenario,source,dataset_group,relation_group
MagnetoFTGPT,,ChEMBL__Semantically-Joinable__assays_both_50_50_ac5_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,ChEMBL,Semantically-Joinable
MagnetoFTGPT,MagnetoFTGPT,OpenData__Unionable__miller2_horizontal_100_ec_av,miller2_horizontal_100_ec_av_source.csv,1.0,1.0,1.0,19.27050280570984,,/Users/nahawandkired/Desktop/si_si-magneto.csv,OpenData,Unionable
SMUTF,,OpenData__Unionable__miller2_horizontal_50_ec_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,Unionable
Similarity Flooding,SimilarityFlooding,ChEMBL__Unionable__assays_horizontal_0_ec_ev,assays_horizontal_0_ec_ev_source.csv,1.0,1.0,1.0,2.4103989601135254,,/Users/nahawandkired/Desktop/si_si-results.csv,ChEMBL,Unionable
SMUTF,,OpenData__Unionable__miller2_horizontal_50_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,Unionable
Similarity Flooding,SimilarityFlooding,ChEMBL__Unionable__assays_horizontal_100_ac3_av,assays_horizontal_100_ac3_av_source.csv,1.0,1.0,1.0,2.3886213302612305,,/Users/nahawandkired/Desktop/si_si-results.csv,ChEMBL,Unionable
Similarity Flooding,SimilarityFlooding,ChEMBL__Unionable__assays_horizontal_100_ac3_ev,assays_horizontal_100_ac3_ev_source.csv,1.0,1.0,1.0,2.265324592590332,,/Users/nahawandkired/Desktop/si_si-results.csv,ChEMBL,Unionable
MagnetoGPT,,ChEMBL__Joinable__assays_both_50_50_ac1_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,ChEMBL,Joinable
Similarity Flooding,SimilarityFlooding,ChEMBL__Unionable__assays_horizontal_100_ec_av,assays_horizontal_100_ec_av_source.csv,1.0,1.0,1.0,2.2272958755493164,,/Users/nahawandkired/Desktop/si_si-results.csv,ChEMBL,Unionable
Similarity Flooding,SimilarityFlooding,ChEMBL__Unionable__assays_horizontal_100_ec_ev,assays_horizontal_100_ec_ev_source.csv,1.0,1.0,1.0,2.213834762573242,,/Users/nahawandkired/Desktop/si_si-results.csv,ChEMBL,Unionable
SMUTF,,OpenData__Unionable__miller2_horizontal_100_ec_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,Unionable
SMUTF,,OpenData__Unionable__miller2_horizontal_100_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,Unionable
Similarity Flooding,SimilarityFlooding,ChEMBL__Unionable__assays_horizontal_50_ac3_av,assays_horizontal_50_ac3_av_source.csv,1.0,1.0,1.0,2.357264995574951,,/Users/nahawandkired/Desktop/si_si-results.csv,ChEMBL,Unionable
Similarity Flooding,SimilarityFlooding,ChEMBL__Unionable__assays_horizontal_50_ac3_ev,assays_horizontal_50_ac3_ev_source.csv,1.0,1.0,1.0,2.4774887561798096,,/Users/nahawandkired/Desktop/si_si-results.csv,ChEMBL,Unionable
Similarity Flooding,SimilarityFlooding,ChEMBL__Unionable__assays_horizontal_50_ec_av,assays_horizontal_50_ec_av_source.csv,1.0,1.0,1.0,2.3840956687927246,,/Users/nahawandkired/Desktop/si_si-results.csv,ChEMBL,Unionable
Similarity Flooding,SimilarityFlooding,ChEMBL__Unionable__assays_horizontal_50_ec_ev,assays_horizontal_50_ec_ev_source.csv,1.0,1.0,1.0,2.3895652294158936,,/Users/nahawandkired/Desktop/si_si-results.csv,ChEMBL,Unionable
MagnetoGPT,,ChEMBL__Joinable__assays_both_50_50_ac5_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,ChEMBL,Joinable
Similarity Flooding,SimilarityFlooding,ChEMBL__Unionable__assays_horizontal_0_ec_av,assays_horizontal_0_ec_av_source.csv,1.0,1.0,1.0,2.327167272567749,,/Users/nahawandkired/Desktop/si_si-results.csv,ChEMBL,Unionable
MagnetoFTGPT,MagnetoFTGPT,OpenData__Unionable__miller2_horizontal_100_ec_ev,miller2_horizontal_100_ec_ev_source.csv,1.0,1.0,1.0,17.31564998626709,,/Users/nahawandkired/Desktop/si_si-magneto.csv,OpenData,Unionable
SMUTF,,TPC-DI__Joinable__prospect_both_50_1_ec_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,TPC-DI,Joinable
Similarity Flooding,SimilarityFlooding,ChEMBL__Unionable__assays_horizontal_0_ac3_ev,assays_horizontal_0_ac3_ev_source.csv,1.0,1.0,1.0,2.1883738040924072,,/Users/nahawandkired/Desktop/si_si-results.csv,ChEMBL,Unionable
SMUTF,,OpenData__View -Unionable__miller2_both_0_70_ec_ev,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,View-Unionable
SMUTF,,OpenData__View -Unionable__miller2_both_0_70_ec_av,,1.0,1.0,1.0,,,/Users/nahawandkired/Documents/metamatch/outputs/final_all_baselines_scan/all_baseline_results_long.csv,OpenData,View-Unionable
MetaMatch,rf,OpenData__View -Unionable__miller2_both_0_50_ec_ev,OpenData__View -Unionable__miller2_both_0_50_ec_ev,1.0,1.0,1.0,,threshold_opt_pairf1_train_fast_grid001_strict_gt,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet,OpenData,View-Unionable
MetaMatch,rf,OpenData__View -Unionable__miller2_both_0_70_ac1_ev,OpenData__View -Unionable__miller2_both_0_70_ac1_ev,1.0,1.0,1.0,,threshold_opt_pairf1_train_fast_grid001_strict_gt,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet,OpenData,View-Unionable
