config,fold_id,n_features,threshold_opt_train,train_mean_f1_pair_at_threshold,fit_sec,train_score_sec,predict_sec,precision,recall,f1,features
syn_only,4,22,0.272,1.0,32.794671361999974,0.8482237250000253,0.400348350999991,0.9926686217008798,0.5274639657187379,0.688883235817858,syn_len_a | syn_len_b | syn_equal_exact | syn_equal_casefold | syn_contains_a_in_b | syn_contains_b_in_a | syn_levenshtein | syn_levenshtein_sim | syn_damerau_osa | syn_damerau_osa_sim | syn_lcs_len | syn_lcs_ratio | syn_common_prefix_ratio | syn_common_suffix_ratio | syn_jaccard_tokens | syn_dice_tokens | syn_jaccard_bigrams | syn_jaccard_trigrams | syn_cosine_bigrams | syn_cosine_trigrams | syn_jaro | syn_jaro_winkler
syn_only,5,22,0.386,1.0,40.04365512800001,0.9903448030000277,0.22554505300001892,0.9978471474703983,0.6229838709677419,0.7670666115018618,syn_len_a | syn_len_b | syn_equal_exact | syn_equal_casefold | syn_contains_a_in_b | syn_contains_b_in_a | syn_levenshtein | syn_levenshtein_sim | syn_damerau_osa | syn_damerau_osa_sim | syn_lcs_len | syn_lcs_ratio | syn_common_prefix_ratio | syn_common_suffix_ratio | syn_jaccard_tokens | syn_dice_tokens | syn_jaccard_bigrams | syn_jaccard_trigrams | syn_cosine_bigrams | syn_cosine_trigrams | syn_jaro | syn_jaro_winkler
distance_only,0,7,0.332,1.0,39.547590883,0.9315974639999922,0.4158011519999718,0.9862174578866769,0.23913850724099517,0.38493723849372385,cls_euclidean | cls_cosine_sim | cls_pearson | cls_spearman | cls_minkowski | cls_canberra | cls_chebyshev
distance_only,1,7,0.229,0.9996219281663516,38.23709427199998,0.9306134749999728,0.42564833300002647,0.9641532756489494,0.28867505551443373,0.44431785816006836,cls_euclidean | cls_cosine_sim | cls_pearson | cls_spearman | cls_minkowski | cls_canberra | cls_chebyshev
distance_only,2,7,0.24,0.9996315401621223,37.16520267300007,0.8991475960000344,0.41838027400001465,0.9634920634920635,0.22708567153011597,0.36754465637299427,cls_euclidean | cls_cosine_sim | cls_pearson | cls_spearman | cls_minkowski | cls_canberra | cls_chebyshev
distance_only,3,7,0.232,0.9997407311381903,39.296384021999984,0.9511815019999403,0.46765576200004944,0.9494833524684271,0.29758906081324216,0.45315068493150684,cls_euclidean | cls_cosine_sim | cls_pearson | cls_spearman | cls_minkowski | cls_canberra | cls_chebyshev
distance_only,4,7,0.318,1.0,42.42087855400007,1.049396004000073,0.47935665499994684,0.9625585023400937,0.2403583950136346,0.3846633416458853,cls_euclidean | cls_cosine_sim | cls_pearson | cls_spearman | cls_minkowski | cls_canberra | cls_chebyshev
distance_only,5,7,0.383,1.0,54.19275134899999,1.437682728000027,0.31501801699994303,0.9769230769230769,0.34139784946236557,0.5059760956175299,cls_euclidean | cls_cosine_sim | cls_pearson | cls_spearman | cls_minkowski | cls_canberra | cls_chebyshev
topological_only,0,31,0.223,1.0,36.447924692000015,1.0577887299999702,0.4869609809999247,0.925,0.06869662086891942,0.12789491876944348,tda_h0_count_src | tda_h1_count_src | tda_h2_count_src | tda_h0_max_life_src | tda_h1_max_life_src | tda_h2_max_life_src | tda_h0_entropy_src | tda_h1_entropy_src | tda_h2_entropy_src | tda_h0_count_tgt | tda_h1_count_tgt | tda_h2_count_tgt | tda_h0_max_life_tgt | tda_h1_max_life_tgt | tda_h2_max_life_tgt | tda_h0_entropy_tgt | tda_h1_entropy_tgt | tda_h2_entropy_tgt | tda_h0_count_combined | tda_h1_count_combined | tda_h2_count_combined | tda_h0_max_life_combined | tda_h1_max_life_combined | tda_h2_max_life_combined | tda_h0_entropy_combined | tda_h1_entropy_combined | tda_h2_entropy_combined | tda_h0_bottleneck | tda_h0_wasserstein | tda_h1_bottleneck | tda_h1_wasserstein
topological_only,1,31,0.243,0.9996219281663516,35.533707757,1.047889908000002,0.47980800599998474,0.9459459459459459,0.05181347150259067,0.09824561403508772,tda_h0_count_src | tda_h1_count_src | tda_h2_count_src | tda_h0_max_life_src | tda_h1_max_life_src | tda_h2_max_life_src | tda_h0_entropy_src | tda_h1_entropy_src | tda_h2_entropy_src | tda_h0_count_tgt | tda_h1_count_tgt | tda_h2_count_tgt | tda_h0_max_life_tgt | tda_h1_max_life_tgt | tda_h2_max_life_tgt | tda_h0_entropy_tgt | tda_h1_entropy_tgt | tda_h2_entropy_tgt | tda_h0_count_combined | tda_h1_count_combined | tda_h2_count_combined | tda_h0_max_life_combined | tda_h1_max_life_combined | tda_h2_max_life_combined | tda_h0_entropy_combined | tda_h1_entropy_combined | tda_h2_entropy_combined | tda_h0_bottleneck | tda_h0_wasserstein | tda_h1_bottleneck | tda_h1_wasserstein
topological_only,2,31,0.198,0.9996315401621223,34.96749314400006,1.0269206280000844,0.47969112099997346,0.9369747899159664,0.08342686120463898,0.15321195465475781,tda_h0_count_src | tda_h1_count_src | tda_h2_count_src | tda_h0_max_life_src | tda_h1_max_life_src | tda_h2_max_life_src | tda_h0_entropy_src | tda_h1_entropy_src | tda_h2_entropy_src | tda_h0_count_tgt | tda_h1_count_tgt | tda_h2_count_tgt | tda_h0_max_life_tgt | tda_h1_max_life_tgt | tda_h2_max_life_tgt | tda_h0_entropy_tgt | tda_h1_entropy_tgt | tda_h2_entropy_tgt | tda_h0_count_combined | tda_h1_count_combined | tda_h2_count_combined | tda_h0_max_life_combined | tda_h1_max_life_combined | tda_h2_max_life_combined | tda_h0_entropy_combined | tda_h1_entropy_combined | tda_h2_entropy_combined | tda_h0_bottleneck | tda_h0_wasserstein | tda_h1_bottleneck | tda_h1_wasserstein
topological_only,3,31,0.152,0.9997407311381903,35.6181455630001,1.1142571479999788,0.4957549349999226,0.9158653846153846,0.1370996761424973,0.23849765258215963,tda_h0_count_src | tda_h1_count_src | tda_h2_count_src | tda_h0_max_life_src | tda_h1_max_life_src | tda_h2_max_life_src | tda_h0_entropy_src | tda_h1_entropy_src | tda_h2_entropy_src | tda_h0_count_tgt | tda_h1_count_tgt | tda_h2_count_tgt | tda_h0_max_life_tgt | tda_h1_max_life_tgt | tda_h2_max_life_tgt | tda_h0_entropy_tgt | tda_h1_entropy_tgt | tda_h2_entropy_tgt | tda_h0_count_combined | tda_h1_count_combined | tda_h2_count_combined | tda_h0_max_life_combined | tda_h1_max_life_combined | tda_h2_max_life_combined | tda_h0_entropy_combined | tda_h1_entropy_combined | tda_h2_entropy_combined | tda_h0_bottleneck | tda_h0_wasserstein | tda_h1_bottleneck | tda_h1_wasserstein
topological_only,4,31,0.232,1.0,37.37463601100001,1.1649279459999207,0.48189521099993726,0.9545454545454546,0.0736268017140631,0.13670886075949368,tda_h0_count_src | tda_h1_count_src | tda_h2_count_src | tda_h0_max_life_src | tda_h1_max_life_src | tda_h2_max_life_src | tda_h0_entropy_src | tda_h1_entropy_src | tda_h2_entropy_src | tda_h0_count_tgt | tda_h1_count_tgt | tda_h2_count_tgt | tda_h0_max_life_tgt | tda_h1_max_life_tgt | tda_h2_max_life_tgt | tda_h0_entropy_tgt | tda_h1_entropy_tgt | tda_h2_entropy_tgt | tda_h0_count_combined | tda_h1_count_combined | tda_h2_count_combined | tda_h0_max_life_combined | tda_h1_max_life_combined | tda_h2_max_life_combined | tda_h0_entropy_combined | tda_h1_entropy_combined | tda_h2_entropy_combined | tda_h0_bottleneck | tda_h0_wasserstein | tda_h1_bottleneck | tda_h1_wasserstein
topological_only,5,31,0.252,1.0,47.20009847799997,1.531659470999898,0.32117994299994734,0.9590163934426229,0.15725806451612903,0.2702078521939954,tda_h0_count_src | tda_h1_count_src | tda_h2_count_src | tda_h0_max_life_src | tda_h1_max_life_src | tda_h2_max_life_src | tda_h0_entropy_src | tda_h1_entropy_src | tda_h2_entropy_src | tda_h0_count_tgt | tda_h1_count_tgt | tda_h2_count_tgt | tda_h0_max_life_tgt | tda_h1_max_life_tgt | tda_h2_max_life_tgt | tda_h0_entropy_tgt | tda_h1_entropy_tgt | tda_h2_entropy_tgt | tda_h0_count_combined | tda_h1_count_combined | tda_h2_count_combined | tda_h0_max_life_combined | tda_h1_max_life_combined | tda_h2_max_life_combined | tda_h0_entropy_combined | tda_h1_entropy_combined | tda_h2_entropy_combined | tda_h0_bottleneck | tda_h0_wasserstein | tda_h1_bottleneck | tda_h1_wasserstein
syn_distance,0,29,0.275,1.0,34.41898753500004,0.8881227609999769,0.39228242499996213,0.9897260273972602,0.4292610471593019,0.5988085988085988,syn_len_a | syn_len_b | syn_equal_exact | syn_equal_casefold | syn_contains_a_in_b | syn_contains_b_in_a | syn_levenshtein | syn_levenshtein_sim | syn_damerau_osa | syn_damerau_osa_sim | syn_lcs_len | syn_lcs_ratio | syn_common_prefix_ratio | syn_common_suffix_ratio | syn_jaccard_tokens | syn_dice_tokens | syn_jaccard_bigrams | syn_jaccard_trigrams | syn_cosine_bigrams | syn_cosine_trigrams | syn_jaro | syn_jaro_winkler | cls_euclidean | cls_cosine_sim | cls_pearson | cls_spearman | cls_minkowski | cls_canberra | cls_chebyshev
syn_distance,1,29,0.249,0.9996219281663516,35.76538819899986,0.8519064370000251,0.3717346710000129,0.9867780097425192,0.5247964470762398,0.6851896593380044,syn_len_a | syn_len_b | syn_equal_exact | syn_equal_casefold | syn_contains_a_in_b | syn_contains_b_in_a | syn_levenshtein | syn_levenshtein_sim | syn_damerau_osa | syn_damerau_osa_sim | syn_lcs_len | syn_lcs_ratio | syn_common_prefix_ratio | syn_common_suffix_ratio | syn_jaccard_tokens | syn_dice_tokens | syn_jaccard_bigrams | syn_jaccard_trigrams | syn_cosine_bigrams | syn_cosine_trigrams | syn_jaro | syn_jaro_winkler | cls_euclidean | cls_cosine_sim | cls_pearson | cls_spearman | cls_minkowski | cls_canberra | cls_chebyshev
