config,feature_set,fold_id,n_features,z_mean_std,fit_sec,precision,recall,f1
reduced_topological_only,Topological,0,1,4.0,67.88528414799998,0.15151515151515152,0.024136650575566285,0.04163997437540039
reduced_topological_only,Topological,1,1,4.0,69.09185384399984,0.14084507042253522,0.025906735751295335,0.0437636761487965
reduced_topological_only,Topological,2,1,4.0,74.08568912400006,0.16919739696312364,0.029180695847362513,0.04977664326738992
reduced_topological_only,Topological,3,1,4.0,70.785551425,0.1626984126984127,0.029507016912558474,0.049954310082241854
reduced_topological_only,Topological,4,1,4.0,75.97932523600002,0.15079365079365079,0.029606544604596805,0.04949527841094106
reduced_topological_only,Topological,5,1,4.0,108.64428126500002,0.17845117845117844,0.035618279569892476,0.05938375350140056
