config,feature_set,mean_f1,std_f1,mean_precision,std_precision,mean_recall,std_recall,n_pair_id,n_features
reduced_compact10,All selected,0.7877013107322606,0.18370402772715724,0.947912143582516,0.16169110910673917,0.7084259059370565,0.22973612958228407,551,10
reduced_distance_only,Distance-based,0.5027624852170044,0.3029586292955581,0.7317583494530151,0.34345789212005406,0.4433770224264829,0.32762779271541925,551,2
reduced_distance_topological,Distance-based + Topological,0.5581693346376778,0.2729113852987256,0.7859384560170647,0.30788614507407674,0.4976711533204744,0.30212435079062067,551,3
reduced_syn_distance,Syntactic + Distance-based,0.7714520333898433,0.19411608242089892,0.945691616849137,0.16969313648341877,0.6862074914421328,0.23921331549843236,551,9
reduced_syn_only,Syntactic,0.7665098921122497,0.21042185357440304,0.9384035140020557,0.1947399863299267,0.6783864669629788,0.2480840108058135,551,7
reduced_syn_topological,Syntactic + Topological,0.7762988257969189,0.19880870352357574,0.9453897564348007,0.17452639681913076,0.6935217026828612,0.24321693428041807,551,8
reduced_topological_only,Topological,0.04893056320408491,0.10495156228401736,0.20790699823402303,0.35934052430587937,0.03176358949376852,0.09129140610595664,551,1
